province,type,data
合肥,confirm,174
合肥,dead,1
合肥,heal,153
合肥,new_confirm,0
蚌埠,confirm,160
蚌埠,dead,5
蚌埠,heal,148
蚌埠,new_confirm,0
阜阳,confirm,155
阜阳,dead,0
阜阳,heal,145
阜阳,new_confirm,0
亳州,confirm,108
亳州,dead,0
亳州,heal,107
亳州,new_confirm,0
安庆,confirm,83
安庆,dead,0
安庆,heal,82
安庆,new_confirm,0
六安,confirm,69
六安,dead,0
六安,heal,63
六安,new_confirm,0
宿州,confirm,41
宿州,dead,0
宿州,heal,37
宿州,new_confirm,0
马鞍山,confirm,38
马鞍山,dead,0
马鞍山,heal,34
马鞍山,new_confirm,0
芜湖,confirm,34
芜湖,dead,0
芜湖,heal,33
芜湖,new_confirm,0
铜陵,confirm,29
铜陵,dead,0
铜陵,heal,29
铜陵,new_confirm,0
淮南,confirm,27
淮南,dead,0
淮南,heal,23
淮南,new_confirm,0
淮北,confirm,27
淮北,dead,0
淮北,heal,24
淮北,new_confirm,0
池州,confirm,17
池州,dead,0
池州,heal,16
池州,new_confirm,0
滁州,confirm,13
滁州,dead,0
滁州,heal,11
滁州,new_confirm,0
黄山,confirm,9
黄山,dead,0
黄山,heal,8
黄山,new_confirm,0
宣城,confirm,6
宣城,dead,0
宣城,heal,4
宣城,new_confirm,0
